Distrito Federal,Distrito Local,Municipio,Sección,Tipo Sección,Padrón Electoral,Listado Nominal,Casilla,Tipo Casilla,"Casilla
con urna electrónic",Domicilio,Localidad y Manzana,Ubicación,Referencia,Tipo Domicilio,postal_code,Distrito Federal_,Distrito Local_,Municipio_
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,1,URBANA,514,513,URBANA,B1,NO,"PLAZA JULIÁN CARRILLO NÚMERO 2, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0004,ESCUELA PRIMARIA BENITO JUÁREZ,"A UN COSTADO DE LA PRESIDENCIA MUNICIPAL, FRENTE A LA PLAZA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,1,URBANA,514,513,URBANA,C1,NO,"PLAZA JULIÁN CARRILLO NÚMERO 2, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN
LUIS POTOSÍ",1) AHUALULCO 0004,ESCUELA PRIMARIA BENITO JUÁREZ,"A UN COSTADO DE LA PRESIDENCIA MUNICIPAL, FRENTE A LA PLAZA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,1,URBANA,513,513,URBANA,C2,NO,"PLAZA JULIÁN CARRILLO NÚMERO 2, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0004,ESCUELA PRIMARIA BENITO JUÁREZ,"A UN COSTADO DE LA PRESIDENCIA MUNICIPAL, FRENTE A LA PLAZA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,2,URBANA,581,579,URBANA,B1,NO,"PLAZA JULIÁN CARRILLO NÚMERO 4, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0014,INSTITUTO TECNOLÓGICO DE SAN LUIS POTOSÍ CAMPUS AHUALULCO,"FRENTE A LA PLAZA JULIÁN CARRILLO, AL SURESTE DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,2,URBANA,581,579,URBANA,C1,NO,"PLAZA JULIÁN CARRILLO NÚMERO 4, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0014,INSTITUTO TECNOLÓGICO DE SAN LUIS POTOSÍ CAMPUS AHUALULCO,"FRENTE A LA PLAZA JULIÁN CARRILLO, AL SURESTE DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,2,URBANA,580,579,URBANA,C2,NO,"PLAZA JULIÁN CARRILLO NÚMERO 4, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0014,INSTITUTO TECNOLÓGICO DE SAN LUIS POTOSÍ CAMPUS AHUALULCO,"FRENTE A LA PLAZA JULIÁN CARRILLO, AL SURESTE DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,2,URBANA,580,578,URBANA,C3,NO,"PLAZA JULIÁN CARRILLO NÚMERO 4, ZONA CENTRO, AHUALULCO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",1) AHUALULCO 0014,INSTITUTO TECNOLÓGICO DE SAN LUIS POTOSÍ CAMPUS AHUALULCO,"FRENTE A LA PLAZA JULIÁN CARRILLO, AL SURESTE DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,3,NO URBANA,300,299,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, PASTILLO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",44) PASTILLO,ESCUELA PRIMARIA PLAN DE GUADALUPE,FRENTE A LA IGLESIA,ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,4,NO URBANA,365,364,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, SAN NICOLÁS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",61) SAN NICOLAS,ESCUELA PRIMARIA PLAN DE ONCE AÑOS,"FRENTE A LA IGLESIA, A UN COSTADO DEL SALÓN EJIDAL Y CASA DE SALUD",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,5,NO URBANA,247,247,NO URBANA,B1,NO,"CALLE HIDALGO NÚMERO 4, IPIÑA  ESTACIÓN , CÓDIGO POSTAL 78451,  AHUALULCO, SAN LUIS POTOSÍ",29) IPIÑA (ESTACION),ESCUELA TELESECUNDARIA BENITO JUÁREZ,A UN COSTADO DEL JARDÍN DE NIÑOS Y DE LA VÍA,ESCUELA,78451,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,6,NO URBANA,535,534,NO URBANA,B1,NO,"AVENIDA SAN ANTONIO SIN NÚMERO, SAN ANTONIO OJO DE AGUA, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",55) SAN ANTONIO OJO DE AGUA 0008,ESCUELA PRIMARIA FEDERAL FERNANDO MONTES DE OCA,"A UN COSTADO DEL SALÓN EJIDAL,
FRENTE A LA CONASUPO, AL OESTE DE LA ANTENA DE TELÉFONOS Y AL ESTE DE LA TELESECUNDARIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,6,NO URBANA,601,600,NO URBANA,E1,NO,"DOMICILIO CONOCIDO, COLONIA DE LA CRUZ, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",22) COLONIA DE LA CRUZ 0022,ESCUELA PRIMARIA RURAL JOSÉ MARÍA MORELOS,"CALLE PRINCIPAL, ESQUINA CAMINO A VALLE UMBROSO",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,6,NO URBANA,600,600,NO URBANA,E1 C1,NO,"DOMICILIO CONOCIDO, COLONIA DE LA CRUZ, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",22) COLONIA DE LA CRUZ 0022,ESCUELA PRIMARIA RURAL JOSÉ MARÍA MORELOS,"CALLE PRINCIPAL, ESQUINA CAMINO A VALLE UMBROSO",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,7,NO URBANA,632,631,NO URBANA,B1,NO,"CALLE JUÁREZ NÚMERO 116, CERRITO DE ROJAS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",16) CERRITO DE ROJAS 0018,ESCUELA PRIMARIA MIGUEL HIDALGO,A UN COSTADO DEL JARDÍN DE NIÑOS,ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,7,NO URBANA,632,631,NO URBANA,C1,NO,"CALLE JUÁREZ NÚMERO 116, CERRITO DE ROJAS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",16) CERRITO DE ROJAS 0018,ESCUELA PRIMARIA MIGUEL HIDALGO,A UN COSTADO DEL JARDÍN DE NIÑOS,ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,8,NO URBANA,620,618,"NO
URBANA",B1,NO,"DOMICILIO CONOCIDO, SAN SALVADOR, CÓDIGO POSTAL
78450, AHUALULCO, SAN LUIS POTOSÍ",62) SAN SALVADOR 0008,"ESCUELA PRIMARIA FEDERAL
REDENCIÓN CAMPESINA","CALLE PRINCIPAL, A 50 METROS DEL
JARDÍN DE NIÑOS",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,8,NO URBANA,619,618,NO URBANA,C1,NO,"DOMICILIO CONOCIDO, SAN SALVADOR, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",62) SAN SALVADOR 0008,ESCUELA PRIMARIA FEDERAL REDENCIÓN CAMPESINA,"CALLE PRINCIPAL, A 50 METROS DEL JARDÍN DE NIÑOS",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,8,NO URBANA,226,225,NO URBANA,E1,NO,"DOMICILIO CONOCIDO, RINCÓN DE LA YERBABUENA, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ.",51) RINCON DE LA YERBABUENA,ESCUELA PRIMARIA RURAL PROFESOR DEMETRIO MORENO,"JUNTO AL JARDÍN DE NIÑOS Y TELESECUNDARIA, AL SUR DEL SALÓN EJIDAL",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,9,NO URBANA,293,291,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, LA HIGUERA, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",28) LA HIGUERA,ESCUELA PRIMARIA RURAL PROFESOR LIBRADO RIVERA,A UN COSTADO DEL ARROYO,ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,10,NO URBANA,147,145,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, ARENAL DE MORELOS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",3) ARENAL DE MORELOS,ESCUELA PRIMARIA RURAL FEDERAL JOSÉ MARÍA MORELOS Y PAVÓN,"LADO PONIENTE DE LA VÍA DEL FERROCARRIL Y A UN COSTADO DEL
PASO DE AGUA POTABLE",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,11,NO URBANA,587,587,NO URBANA,B1,NO,"CALLE 20 DE NOVIEMBRE SIN NÚMERO, SANTA TERESA, CÓDIGO POSTAL 78452, AHUALULCO, SAN LUIS POTOSÍ",64) SANTA TERESA,ESCUELA TELESECUNDARIA IGNACIO ZARAGOZA,"JUNTO A LA ESCUELA PRIMARIA FRANCISCO I. MADERO, EN FRENTE SE ENCUENTRA LA IGLESIA",ESCUELA,78452,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,11,NO URBANA,587,587,NO URBANA,C1,NO,"CALLE 20 DE NOVIEMBRE SIN NÚMERO, SANTA TERESA, CÓDIGO POSTAL 78452, AHUALULCO, SAN LUIS POTOSÍ",64) SANTA TERESA,ESCUELA TELESECUNDARIA IGNACIO ZARAGOZA,"JUNTO A LA ESCUELA PRIMARIA FRANCISCO I. MADERO, EN FRENTE SE ENCUENTRA LA IGLESIA",ESCUELA,78452,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,12,NO URBANA,694,687,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, EJIDO DEL CENTRO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",24) EJIDO DEL CENTRO,ESCUELA PRIMARIA RURAL DIEZ DE MAYO,"A UN COSTADO DEL JARDÍN DE NIÑOS, AL SUR DE CAMINO A AHUALULCO",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,13,NO URBANA,480,480,NO URBANA,B1,NO,"CALLE ELIZA MEDINA NÚMERO 5, SAN JUAN DE COYOTILLOS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",58) SAN JUAN DE COYOTILLOS 0027,ESCUELA PRIMARIA TIERRA Y LIBERTAD,"A UN LADO DE LA CLÍNICA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL, CERCA DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,13,NO URBANA,479,479,NO URBANA,C1,NO,"CALLE ELIZA MEDINA NÚMERO 5, SAN JUAN DE COYOTILLOS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",58) SAN JUAN DE COYOTILLOS 0027,ESCUELA PRIMARIA TIERRA Y LIBERTAD,"A UN LADO DE LA CLÍNICA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL, CERCA DE LA IGLESIA",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,14,NO URBANA,471,471,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, BARRANCAS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",5) BARRANCAS,ESCUELA PRIMARIA PROFESOR FELIPE DE JESÚS ESPINOZA,"FRENTE A BODEGAS DE CONASUPO, A UN COSTADO DEL SALÓN EJIDAL",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,14,NO URBANA,471,470,NO URBANA,C1,NO,"DOMICILIO CONOCIDO, BARRANCAS, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ",5) BARRANCAS,ESCUELA PRIMARIA PROFESOR FELIPE DE JESÚS ESPINOZA,"FRENTE A BODEGAS DE CONASUPO, A UN COSTADO DEL SALÓN EJIDAL",ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,14,NO URBANA,690,689,NO URBANA,E1,NO,"AVENIDA 5 DE MAYO SIN NÚMERO, PASO BONITO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ.",42) PASO BONITO,ESCUELA PRIMARIA RURAL 5 DE MAYO,ENTRE LA PILA DE AGUA Y LA CAPILLA DEL LUGAR,ESCUELA,78450,1,4,1
MATEHUALA,SALINAS DE HIDALGO,AHUALULCO,14,NO URBANA,689,689,NO URBANA,E1 C1,NO,"AVENIDA 5 DE MAYO SIN NÚMERO, PASO BONITO, CÓDIGO POSTAL 78450, AHUALULCO, SAN LUIS POTOSÍ.",42) PASO BONITO,ESCUELA PRIMARIA RURAL 5 DE MAYO,ENTRE LA PILA DE AGUA Y LA CAPILLA DEL LUGAR,ESCUELA,78450,1,4,1
