SECCIÓN,CASILLA,DISTRITO,NO. MPO,MUNICIPIO,ACTA,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,PNA SAN LUIS,PES,RSP,FXM,CI,"PAN,PRI,PRD,PCP","PAN,PRI,PRD","PAN,PRI,PCP","PAN,PRD,PCP","PRI,PRD,PCP","PAN,PRI","PAN,PRD","PAN,PCP","PRI,PRD","PRI,PCP","PRD,PCP","PT,PVEM",CNR,VTN,TOTAL,OBSERVACIONES
98,B1,1.0,6.0,CATORCE,10098B010601,163,54,5,9,104,4,37,27,3,6,29,3,4,5,5,0,0,0,5,1,0,0,0,1,3,2,19,489,
98,C1,1.0,6.0,CATORCE,10098C010601,153,62,2,15,116,7,45,38,2,1,17,0,3,5,0,1,0,0,6,0,0,0,0,0,10,0,15,498,
99,B1,1.0,6.0,CATORCE,10099B010601,31,10,0,3,35,0,6,5,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,5,103,
101,B1,1.0,6.0,CATORCE,10101B010601,14,55,1,12,34,1,37,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,175,
102,B1,1.0,6.0,CATORCE,10102B010601,48,31,1,26,75,1,17,12,2,0,4,0,0,0,1,0,0,0,0,1,2,0,0,0,10,0,4,235,
103,B1,1.0,6.0,CATORCE,10103B010601,100,25,1,29,74,1,17,9,2,4,0,0,0,3,2,0,0,0,6,1,0,0,0,0,10,0,8,292,
105,B1,1.0,6.0,CATORCE,10105B010601,99,11,0,17,54,0,23,3,0,0,4,1,0,0,1,1,0,0,6,0,0,0,0,0,3,0,9,232,
106,B1,1.0,6.0,CATORCE,10106B010601,65,26,1,29,132,1,26,48,9,1,18,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,14,385,
106,C1,1.0,6.0,CATORCE,10106C010601,73,27,0,21,131,2,30,31,12,0,26,0,1,0,3,0,0,0,1,0,0,0,0,0,14,1,11,384,
107,B1,1.0,6.0,CATORCE,10107B010601,36,16,0,14,35,2,10,5,1,0,8,1,0,0,1,0,0,0,4,0,1,0,0,0,3,0,7,144,
108,B1,1.0,6.0,CATORCE,10108B010601,82,68,2,12,89,5,44,39,1,2,4,1,1,5,1,0,0,0,6,0,0,0,0,0,8,0,15,385,
110,B1,1.0,6.0,CATORCE,10110B010601,71,26,8,10,63,0,25,16,1,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,15,249,
111,B1,1.0,6.0,CATORCE,10111B010601,59,24,1,17,120,0,8,4,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,7,253,
112,B1,1.0,6.0,CATORCE,10112B010601,58,14,1,21,102,1,15,33,4,19,32,1,0,2,0,0,0,0,1,0,0,0,0,0,9,0,14,327,
113,B1,1.0,6.0,CATORCE,10113B010601,24,16,0,11,29,0,15,16,1,2,4,0,0,2,2,0,0,0,1,0,0,0,0,0,4,0,7,134,
114,B1,1.0,6.0,CATORCE,10114B010601,16,24,2,4,28,1,12,15,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,113,
115,B1,1.0,6.0,CATORCE,10115B010601,30,103,3,15,38,3,24,6,2,5,4,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,13,253,
116,B1,1.0,6.0,CATORCE,10116B010601,46,29,1,9,43,0,14,15,0,1,6,1,1,3,5,1,0,0,0,0,0,0,1,0,5,0,16,197,
117,B1,1.0,6.0,CATORCE,10117B010601,21,13,0,3,76,12,10,0,0,1,9,0,0,1,3,0,0,0,2,0,0,0,0,0,4,0,8,163,
118,B1,1.0,6.0,CATORCE,10118B010601,131,32,0,17,77,1,14,3,3,4,4,0,0,1,2,1,0,0,2,0,0,0,0,0,10,1,25,328,
119,B1,1.0,7.0,CEDRAL,10119B010701,14,39,6,10,95,4,24,106,5,0,18,4,1,2,3,1,0,0,2,0,0,0,1,0,6,0,11,352,
119,C1,1.0,7.0,CEDRAL,10119C010701,17,45,4,10,93,4,27,89,7,2,29,4,1,1,2,0,0,0,0,0,0,0,0,0,11,0,15,361,
119,C2,1.0,7.0,CEDRAL,10119C020701,30,37,6,7,89,2,15,92,2,4,21,5,0,2,1,0,1,0,0,0,0,0,0,0,11,1,7,333,
119,C3,1.0,7.0,CEDRAL,10119C030701,16,34,2,18,88,4,24,109,3,1,26,5,1,1,0,0,0,0,0,0,0,0,0,1,20,0,9,362,
120,B1,1.0,7.0,CEDRAL,10120B010701,20,38,3,9,127,7,17,113,0,4,25,6,1,5,2,1,0,0,2,0,0,0,0,0,21,0,15,416,
120,C1,1.0,7.0,CEDRAL,10120C010701,26,46,4,11,110,8,20,88,3,1,24,12,1,2,2,1,0,0,2,0,0,0,0,0,15,0,12,388,
120,C2,1.0,7.0,CEDRAL,10120C020701,21,35,3,10,105,9,20,118,8,2,35,8,0,3,3,0,0,0,0,0,0,0,0,0,19,0,18,417,
121,B1,1.0,7.0,CEDRAL,10121B010701,28,37,4,10,104,3,21,104,10,5,29,13,1,0,1,0,0,0,4,0,0,0,0,0,14,0,10,398,
121,C1,1.0,7.0,CEDRAL,10121C010701,44,43,3,5,120,5,24,81,5,1,33,7,0,2,1,0,0,0,2,0,0,0,0,0,17,0,11,404,
121,C2,1.0,7.0,CEDRAL,10121C020701,20,34,6,13,113,7,15,100,0,6,25,6,0,3,1,0,0,0,2,0,0,0,0,1,20,0,13,385,
122,B1,1.0,7.0,CEDRAL,10122B010701,27,40,2,17,98,5,14,95,4,1,30,12,1,5,3,0,0,0,2,1,0,0,1,0,15,0,8,381,
122,C1,1.0,7.0,CEDRAL,10122C010701,19,49,0,13,90,3,24,89,3,3,24,4,1,4,3,0,1,0,1,0,0,0,0,0,19,0,8,358,
122,C2,1.0,7.0,CEDRAL,10122C020701,29,51,7,7,103,6,18,100,4,0,31,6,0,3,1,0,0,0,1,2,0,0,0,0,6,0,6,381,
122,C3,1.0,7.0,CEDRAL,10122C030701,25,44,6,11,112,4,24,70,2,1,32,5,0,4,3,0,0,0,0,0,0,0,1,0,19,0,15,378,
123,B1,1.0,7.0,CEDRAL,10123B010701,2,21,1,2,41,5,10,17,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,111,
124,B1,1.0,7.0,CEDRAL,10124B010701,9,30,2,9,62,6,15,12,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,7,0,14,174,
125,B1,1.0,7.0,CEDRAL,10125B010701,8,21,6,3,41,2,42,12,4,2,4,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,14,164,
125,E1,1.0,7.0,CEDRAL,10125E010701,4,6,0,9,30,3,25,7,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,96,
126,B1,1.0,7.0,CEDRAL,10126B010701,20,39,4,14,69,2,68,36,2,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,8,0,13,284,
127,B1,1.0,7.0,CEDRAL,10127B010701,12,37,5,10,46,7,33,13,5,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,11,186,
128,B1,1.0,7.0,CEDRAL,10128B010701,24,52,4,13,40,14,19,54,4,2,5,1,0,1,0,1,0,0,2,0,0,0,0,1,1,0,11,249,
129,B1,1.0,7.0,CEDRAL,10129B010701,3,6,3,5,22,4,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,89,
130,B1,1.0,7.0,CEDRAL,10130B010701,7,26,3,4,30,4,23,35,0,5,6,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,7,155,
131,B1,1.0,7.0,CEDRAL,10131B010701,17,70,3,11,83,3,46,76,2,10,0,3,0,0,2,0,0,0,1,0,0,0,0,0,5,0,16,348,
131,C1,1.0,7.0,CEDRAL,10131C010701,16,95,5,10,91,3,42,62,2,0,19,1,0,1,2,0,0,0,3,0,0,0,1,0,14,0,27,394,
132,B1,1.0,7.0,CEDRAL,10132B010701,2,24,1,3,32,0,8,11,3,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,4,0,11,107,
133,B1,1.0,7.0,CEDRAL,10133B010701,14,37,6,13,55,2,19,48,0,1,7,2,0,2,0,0,0,0,2,0,0,0,1,0,4,0,12,225,
134,B1,1.0,7.0,CEDRAL,10134B010701,21,31,2,3,41,10,24,58,2,1,14,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,7,221,
135,B1,1.0,7.0,CEDRAL,10135B010701,19,78,4,12,136,7,120,56,2,3,1,4,0,0,0,0,0,0,1,0,0,1,0,0,9,0,37,490,
384,B1,1.0,15.0,CHARCAS,10384B011501,52,49,4,25,188,1,10,24,7,8,47,2,0,1,2,0,0,0,2,0,0,0,1,0,20,0,8,451,
